asset_prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
5090.91,454.56,-0.00,2045.44,-0.00
5490.28,2451.38,-0.00,48.62,-0.00
4303.95,0.00,-0.00,5980.23,-3480.23
4487.23,0.00,-0.00,5063.84,-2563.84
5044.78,223.88,-0.00,2276.12,-0.00
4986.61,0.00,-0.00,2566.97,-66.97
5429.89,2149.46,-0.00,350.54,-0.00
5797.72,3988.58,-1488.58,0.00,-0.00
5324.71,1623.53,-0.00,876.47,-0.00
4866.09,0.00,-0.00,3169.57,-669.57
5122.88,614.42,-0.00,1885.58,-0.00
5446.92,2234.58,-0.00,265.42,-0.00
5439.52,2197.58,-0.00,302.42,-0.00
4647.49,0.00,-0.00,4262.53,-1762.53
4904.76,0.00,-0.00,2976.19,-476.19
5445.73,2228.65,-0.00,271.35,-0.00
4506.03,0.00,-0.00,4969.87,-2469.87
5216.24,1081.18,-0.00,1418.82,-0.00
5089.25,446.23,-0.00,2053.77,-0.00
4773.30,0.00,-0.00,3633.50,-1133.50
5583.46,2917.28,-417.28,0.00,-0.00
4939.49,0.00,-0.00,2802.56,-302.56
5142.61,713.04,-0.00,1786.96,-0.00
5154.44,772.20,-0.00,1727.80,-0.00
5565.81,2829.05,-329.05,0.00,-0.00
4614.93,0.00,-0.00,4425.35,-1925.35
5113.61,568.07,-0.00,1931.93,-0.00
5309.71,1548.53,-0.00,951.47,-0.00
4566.67,0.00,-0.00,4666.67,-2166.67
5542.70,2713.52,-213.52,0.00,-0.00
4904.59,0.00,-0.00,2977.05,-477.05
4321.84,0.00,-0.00,5890.81,-3390.81
5063.35,316.75,-0.00,2183.25,-0.00
4028.51,0.00,-0.00,7357.45,-4857.45
5875.27,4376.37,-1876.37,0.00,-0.00
5331.38,1656.90,-0.00,843.10,-0.00
4854.23,0.00,-0.00,3228.83,-728.83
5443.67,2218.35,-0.00,281.65,-0.00
5099.84,499.20,-0.00,2000.80,-0.00
4743.59,0.00,-0.00,3782.05,-1282.05
4838.67,0.00,-0.00,3306.66,-806.66
5548.11,2740.54,-240.54,0.00,-0.00
4902.54,0.00,-0.00,2987.28,-487.28
5777.93,3889.65,-1389.65,0.00,-0.00
5712.88,3564.40,-1064.40,0.00,-0.00
4698.32,0.00,-0.00,4008.40,-1508.40
5179.48,897.38,-0.00,1602.62,-0.00
